solar_ratio,objective_value,drought_mass
0.0,-1783465816.2897177,1754.422468014792
0.05,-1813859065.6572988,1723.1841797368531
0.1,-1843688189.8014987,1683.1980539418698
0.15000000000000002,-1872946622.2099478,1572.2745475157778
0.2,-1901431802.3857791,1190.8828004400207
0.25,-1929062746.629313,830.7920599884201
0.30000000000000004,-1955694349.1572845,821.2558432698635
0.35000000000000003,-1981276756.4970126,595.9229786596796
0.4,-2005435458.612489,575.9057238682905
0.45,-2028044205.0546362,550.8209740240037
0.5,-2048587066.3468642,414.60025067411215
0.55,-2066640314.2674026,390.86849590277944
0.6000000000000001,-2081674348.1024065,309.26590900860504
0.65,-2092999730.9423454,305.2315296111358
0.7000000000000001,-2100169140.0094888,296.14154960126353
0.75,-2103462454.6225514,288.7048331771244
0.8,-2103644867.817732,279.16337002286224
0.8500000000000001,-2101362447.7345665,274.94846583767054
0.9,-2097037193.055219,280.9410022624122
0.9500000000000001,-2090904826.7517722,320.3636128199756
